,area_ratio_representative,freq_ratio_representative,changed_ratio_representative,cluster
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/99fa7670,0.0,0.8956325754884158,0.34651111335810164,1
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/6d0aefbc,0.8823529411764706,0.576705511216918,0.5035461787405097,2
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/6855a6e4,0.0,0.7405635139955503,0.3206984691090379,1
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/67e8384a,0.9922178988326849,0.5785509533510831,0.7386351471780029,2
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/e3497940,-0.9284886398524874,0.6536407183789933,0.5755471329446104,0
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/54d9e175,0.0,0.701555452774645,0.7630791532323713,5
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/2281f1f4,0.0,0.8496253684852545,0.3299705251302563,1
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/3af2c5a8,0.9922178988326849,0.5653004229225427,0.7386351471780029,2
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/d687bc17,0.0,0.5369005156019924,0.3468109934309207,3
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/ae3edfdc,0.0,0.851007017075982,0.32637279003619485,1
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/ff28f65a,-0.9952573076020597,0.6382090053755819,0.8252506766971038,0
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/b8cdaf2b,0.0,0.7566058047129495,0.3192074259211031,1
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/90c28cc7,-0.9724946501758183,0.5244523376019085,0.8215304846584603,0
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/eb281b96,0.975609756097561,0.5745124255386198,0.6655905251061364,2
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/97999447,0.0,0.8731811016150586,0.35154462149898935,1
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/150deff5,0.0,0.7836414405801336,0.3427819339181899,1
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/29623171,0.0,0.5972137736457248,0.36014893593934805,3
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/be94b721,-0.999473341013141,0.7652529020558221,0.8470711163879714,4
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/d511f180,0.0,0.5145518558479587,0.35668587510424077,3
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/68b16354,0.0,0.5782579902002891,0.589982614436149,3
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/aabf363d,0.0,0.7780325142377308,0.34439251748711003,1
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/e8dc4411,0.0,0.8687098184874642,0.3213770683359275,1
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/23b5c85d,-0.9998610961765733,0.6559616256001386,0.8510858352891959,0
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/ea786f4a,0.0,0.5166104924729247,0.3436226287682009,3
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/e76a88a6,0.0,0.7929016262232402,0.32628393748529716,1
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/77fdfe62,-0.9924753444526975,0.5333183311776164,0.8477793449986895,0
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/a2fd1cf0,0.0,0.8984567796464931,0.31742118740924863,1
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/1c786137,-0.9999970457353864,0.5402256883597139,0.8573369488797895,0
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/1190e5a7,-0.9992485411440172,0.6136345147344638,0.8339091465553546,0
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/ef135b50,0.0,0.7451947709697503,0.31541553326932276,1
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/6430c8c4,-0.934246590491954,0.5439796958671528,0.8251284211656088,0
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/9ecd008a,-0.9999787767880716,0.5771854749498373,0.8528677399403051,0
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/5614dbcf,-0.9996952148735142,0.5431383676312291,0.8535908843939396,0
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/694f12f3,0.0,0.6307825528258776,0.3242299223771306,3
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/3631a71a,0.0,0.534741131394044,0.3874249321961535,3
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/d406998b,0.0,0.7308811471703197,0.32788705944514873,1
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/ed36ccf7,0.0,0.5858895459315804,0.3886736464722368,3
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/99b1bc43,-0.9348418747404348,0.543901313805942,0.8229777753609102,0
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/007bbfb7,0.9990864829144401,0.7402819910729018,0.8180043824504628,2
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/b27ca6d3,0.0,0.8586714606943004,0.3370080958204124,1
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/2dc579da,-0.9999305051135844,0.6534013492988844,0.8474635144094176,0
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/aba27056,0.0,0.7325163132629643,0.3755591910182806,1
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/d9fac9be,-0.9999998926143752,0.6376331913846277,0.8603775319178126,0
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/178fcbfb,0.0,0.7940854493776801,0.6922740604292079,5
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/5daaa586,-0.9895286713355135,0.5573661139018684,0.8503391852517452,0
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/6e19193c,0.0,0.8177089068533578,0.3168250262891252,1
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/913fb3ed,0.0,0.8819781434420837,0.3915081453749748,1
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/a61f2674,0.0,0.7896897448149767,0.34108167209681833,1
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/025d127b,0.0,0.769623312954858,0.3261826531169772,1
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/f2829549,-0.9341252712731628,0.5412312094350173,0.8234516250984469,0
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/f1cefba8,0.0,0.5535249624199665,0.3377264463862454,3
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/27a28665,-0.9999992417116679,0.7915190532841831,0.8602345948991208,4
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/7c008303,-0.9488117894404734,0.5628124645310157,0.8062820104185039,0
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/62c24649,0.9922178988326849,0.5669229704573824,0.7386351471780029,2
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/6cf79266,0.0,0.6048591984082328,0.38195386182993263,3
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/e9614598,0.0,0.9015042142451505,0.3191260298585246,1
/home/student/subin_workspace/2025DL-team-project/workspace/dataset/f15e1fac,0.0,0.8819382072504245,0.3398630398200133,1
